itemId,title,genres,imdb_id,imdb_rating,imdb_votes,metascore,runtime,MPAA_rating,imdb_genres,director,actors,year
3699,Starman,"Adventure, Drama, Romance, Sci-Fi",tt0088172,7.0,38393,71,115,PG,"Romance, Sci-Fi",John Carpenter,"Jeff Bridges, Karen Allen, Charles Martin Smith, Richard Jaeckel",1984
3700,"Brother from Another Planet, The","Drama, Sci-Fi",tt0087004,6.8,5050,0,108,R,"Comedy, Sci-Fi",John Sayles,"Joe Morton, Rosanna Carter, Ray Ramirez, Yves Rene",1984
3701,Alien Nation,"Crime, Drama, Sci-Fi",tt0094631,6.3,12867,45,91,R,"Action, Sci-Fi",Graham Baker,"James Caan, Mandy Patinkin, Terence Stamp, Kevyn Major Howard",1988
3702,Mad Max,"Action, Sci-Fi",tt0079501,7.0,173984,73,88,R,"Action, Adventure, Sci-Fi, Thriller",George Miller,"Mel Gibson, Joanne Samuel, Hugh KeaysByrne, Steve Bisley",1979
3703,Mad Max 2 (a.k.a. The Road Warrior),"Action, Sci-Fi",tt0082694,7.6,152866,77,94,R,"Action, Adventure, Sci-Fi, Thriller",George Miller,"Mel Gibson, Bruce Spence, Michael Preston, Max Phipps",1981
3704,Mad Max Beyond Thunderdome,"Action, Sci-Fi",tt0089530,6.3,116436,71,107,PG-13,"Action, Adventure, Sci-Fi","George Miller, George Ogilvie","Mel Gibson, Bruce Spence, Adam Cockburn, Tina Turner",1985
3705,Bird on a Wire,"Action, Adventure, Romance, Thriller",tt0099141,5.9,36058,36,110,PG-13,"Action, Comedy",John Badham,"Mel Gibson, Goldie Hawn, David Carradine, Bill Duke",1990
3706,Angel Heart,"Film-Noir, Mystery, Thriller",tt0092563,7.3,71845,61,113,R,"Horror, Mystery, Thriller",Alan Parker,"Mickey Rourke, Robert De Niro, Lisa Bonet, Charlotte Rampling",1987
3707,Nine 1/2 Weeks,Drama,tt0091635,5.9,33875,50,117,R,"Drama, Romance",Adrian Lyne,"Mickey Rourke, Kim Basinger, Margaret Whitton, David Margulies",1986
3708,Firestarter,"Horror, Thriller",tt0087262,6.0,26557,50,114,R,"Action, Horror, Sci-Fi, Thriller",Mark L Lester,"David Keith, Drew Barrymore, Freddie Jones, Heather Locklear",1984
3709,Sleepwalkers,Horror,tt0105428,5.2,17986,38,91,R,Horror,Mick Garris,"Brian Krause, Madchen Amick, Alice Krige, Jim Haynie",1992
